url,labels
"http://bazurashop.com/idex.html?sfm_from_iframe=1',300,350",1
hollywoodland.org/?p=29,0
tunnekylmyysmiddletonii.02leds.com/me4xcdste0.php\n,1
usa-people-search.com/Find-Carla-Brown-IA.aspx,0
inspire-consultants.com.my/487ygfh,1
taiwanteastore.com/,0
citizendia.org/Morocco_national_football_team,0
osscamp.pl/poeosias/xskkswee/oeidppda/doeiidas/,1
www.luckybell.com/index/,0
lquuqkf.org/information.cgi,1
freitaspedrasdecorativas.com.br/website/wp-admin/images/,1
absoluteastronomy.com/topics/TV5MONDE,0
readprint.com/online-books/a,0
findtofind.info/wp-content/themes/twentyfifteen/inc/index.html,1
schoolspthakarpura.com/components/com_ag_google_analytics2/itordernote.html,1
flickeralley.com/fat_soviet_01.html,0
hpfirefighter.com/,0
school.mech.uwa.edu.au/~jamest/shearmagic/,0
pakistanstoday.com/,1
aquatixbottle.com/MCskGX,1
en.wikipedia.org/wiki/Elimination_Chamber,0
supaprice.co.uk/p/result.jsp?ga=uk9&q=signed+stoke+city+shirt,0
flickr.com/photos/hutchike/214084936/,0
colagung.com/izm4t243,1
pics.smashits.com/ram-sampath-sona.html,0
cmodkwsxu.biz/data/info.php,1
klepper.de/language/overrides/App/fa0e4/dir/log.php?cmd=_account-details&amp;session=2bb5a967d5b8c137ffd15bf9f8579253&amp;dispatch=05610ff3b4ef51ed2d6161ed335781725bc2df2c,1
www.tir.co.uk/_servs_render.html,0
charlienewton.com/bio.php,0
skyarts.co.uk/music/article/queen-rock-montreal/,0
ourcampaigns.com/CandidateDetail.html?CandidateID=4743,0
www.vineyardintelligence.com/valuing-vineyard-properties,1
wn.com/1910s,0
makingitalia.net/mbv58gbv,1
sportsillustrated.cnn.com/basketball/nba/players/4491/index.html,0
hsx.com/security/view/SAFEW,0
www.abjor.com.br/wwwfull/,1
myspace.com/bruce350,0
askbiography.com/bio/Irvin_Pelletier.html,0
torrentreactor.net/torrents/1629518/Hope-Sandoval-amp%3B-The-Warm-Inventions-Bavarian-Fruit-Bread-%28LP-2001%29,0
hemophiliaillinois.org/locator.htm,0
nibs.com/,0
visitstoke.co.uk/thedms.aspx?dms=13&venue=2223012,0
prnewswire.com/news-releases/fire-smoke-coalition-applauds-congressional-fire-services-institute-resolution-on-reducing-deaths-from-smoke-inhalation-122151129.html,0
cnajs.com/pic/Agatha%20Christie/dropbox/dropbox/,1
austinheights.edu.my/learn/includes/.ne/index.html,1
mxp1011.com,1
sports.yahoo.com/tennis/blog/busted_racquet/post/Previewing-the-France-Serbia-Davis-Cup-final?urn=ten-291320,0
astuin.org/uygfsdf/aos/aos/aos/index.htm,1
visbymaklarna.se/knby545,1
zcclaw.com/,0
espm.co.il/wp-includes/js/plupload/,1
tvguide.com/celebrities/larry-vincent/187306,0
jnzbtb.cn/images/?http://us.battle.net/login/en=,1
forums.majorgeeks.com/forumdisplay.php?f=35,0
folueopa.top/read.php?f=0.dat,1
noehill.com/nevada_county_california/cal1012.asp,0
local.yahoo.com/info-21495143-ktvu-oakland,0
